"For college credit programs, postsecondary courses taken through dual enrollment for three credits or more that are part of a postsecondary",
"career/technical program of study (College Credit Certificate, Applied Technology Diploma, Associate in Applied Science, Associate of Science) shall be",
"For Career Certificate clock hour courses taken through dual enrollment, the following methodology must be used for the awarding of high school",
0.5 high school credit for each 75 hours in the course rounded down to the nearest 0.5 credits,
"for these courses is provided herein. If a course is not listed, one of the following may apply: 1) The course is not at least 75 clock hours or at least 3",
"college credit hours and cannot result in award of high school credit, 2) the course is not eligible for dual enrollment because it does not lead to an",
"industry certificate approved under sections 1008.44, F.S., or 3) the course is recently approved and has not been included in this table.",
The high school credits are awarded upon completion of the postsecondary course. Individual courses may be awarded more or less credit than is,
indicated on the list based upon the number of hours of which a course is taught at a Florida College System institution. Clock hour courses offered in,
Students seeking to meet the requirements of the Gold Seal Vocational Scholarship through dual enrollment must carefully choose courses that meet,
For those career and technical secondary courses that have been identified as satisfying the fine or performing arts high school graduation requirement,
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
Course Prefix,Course Number,Course Title,H.S. Credit,Discipline
ACO,40,Accounting Clerk OCP B (300 hours),2,Finance
ACO,41,Accounting Associate OCP C (300 hours),2,Finance
ACO,42,Accounting Assistant OCP D (150 hours),1,Finance
ACR,0,Overview of Air Conditioning (PSAV),1.5,Architecture & Construction
ACR,1,A/C and Refrigeration Theory (1 of 2),1.5,Architecture & Construction
ACR,2,A/C and Refrigeration Theory (2 of 2),0.5,Architecture & Construction
ACR,8,Basic Refrigeration Skills,0.5,Architecture & Construction
ACR,9,"Install, Maintain and Repair Basic Air Conditioning Systems",0.5,Architecture & Construction
ACR,22,Domestic Refrigeration,0.5,Architecture & Construction
ACR,41,"A/C, Refrigeration and Heating Helper OCP A (250 hours)",1.5,Architecture & Construction
ACR,43,"A/C, Refrigeration and Heating Mechanic Assistant OCP B (250 hours)",1.5,Architecture & Construction
ACR,44,"A/C, Refrigeration and Heating Technician OCP B (350 hours)",2,Architecture & Construction
ACR,45,Refrigeration Mechanic OCP D (350 hours),2,Architecture & Construction
ACR,46,Refrigeration Technician OCP B (450 hours),3,Architecture & Construction
ACR,47,"A/C, Refrigeration and Heating Mechanic (1 of 2) OCP C (250 hours)",1.5,Architecture & Construction
ACR,49,"A/C, Refrigeration and Heating Mechanic (2 of 2) OCP A (250 hours)",1.5,Architecture & Construction
ACR,60,Load Calculations/Psychometrics,0.5,Architecture & Construction
ACR,61,Psychometrics,0.5,Architecture & Construction
ACR,84,Cooling Appliance Technician (350 hours),2,Architecture & Construction
ACR,100,Basic Electricity (PSAV),0.5,Architecture & Construction
ACR,106,Applied Electricity,1,Architecture & Construction
ACR,107,Electricity Circuitry for HVAC Single Phase,0.5,Architecture & Construction
ACR,122,Refrigeration & AC Components (PSAV),1,Architecture & Construction
ACR,205,Compressors,0.5,Architecture & Construction
ACR,575,Light Commercial Refrigeration Technician,0.5,Architecture & Construction
ACR,577,HVAC Service and Installation- Intro,0.5,Architecture & Construction
ACR,578,Commercial Heating & AC Advanced,0.5,Architecture & Construction
ACR,601,Heat Pumps (PSAV),0.5,Architecture & Construction
ACR,602,Heat Pump Technology,1,Architecture & Construction
ACR,608,Residential Heating Systems,0.5,Architecture & Construction
ACR,610,"Heat Pumps, Electric Heat, Gas/Oil Furnaces & Boilers",0.5,Architecture & Construction
ACR,621,Fossil Fuel and Electric Heat,0.5,Architecture & Construction
ACR,622,Servicing Fossil Fuel & Electric Heating,0.5,Architecture & Construction
ACR,700,Central Residential A/C,0.5,Architecture & Construction
ACR,701,HVAC Troubleshooting,1,Architecture & Construction
ACR,704,Intro to Refrigeration/AC,1,Architecture & Construction
ACR,705,Mechanical Systems,0.5,Architecture & Construction
ACR,741,Commercial Refrigeration (PSAV),0.5,Architecture & Construction
ACR,815,Advanced Service Practices,0.5,Architecture & Construction
ACR,850,Trouble Shooting,1,Architecture & Construction
ACR,0001C,A/C and Refrigeration Theory (1 of 2),0.5,Architecture & Construction
ACR,0001L,A/C and Refrigeration Theory (1 of 2),0.5,Architecture & Construction
ACR,0002C,A/C and Refrigeration Theory (2 of 2),0.5,Architecture & Construction
ACR,0002L,A/C and Refrigeration Theory (2 of 2),0.5,Architecture & Construction
ACR,0009C,"Install, Maintain and Repair Basic Air Conditioning Systems",0.5,Architecture & Construction
ACR,000C,Overview of Air Conditioning (PSAV),1.5,Architecture & Construction
ACR,0044C,"A/C, Refrigeration and Heating Technician OCP B (350 hours)",2,Architecture & Construction
ACR,0061C,Psychometrics,0.5,Architecture & Construction
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
ACR,0100C,Basic Electricity (PSAV),0.5,Architecture & Construction
ACR,0205C,Compressors,0.5,Architecture & Construction
ACR,022C,Domestic Refrigeration,0.5,Architecture & Construction
ACR,0601C,Heat Pumps (PSAV),0.5,Architecture & Construction
ACR,0610C,"Heat Pumps, Electric Heat, Gas/Oil Furnaces & Boilers",0.5,Architecture & Construction
ACR,0741C,Commercial Refrigeration (PSAV),0.5,Architecture & Construction
ACR,0815C,Advanced Service Practices,0.5,Architecture & Construction
ACR,0850C,Trouble Shooting,1,Architecture & Construction
ACR,X067,Heating & Cooling Load Calculations (L),0.5,Architecture & Construction
ACR,X071,Business Management/Entrepreneurship,0.5,Architecture & Construction
ACR,X101,Applied Electricity (1 of 2),0.5,Architecture & Construction
ACR,X102,Applied Electricity (2 of 2),0.5,Architecture & Construction
ACR,X102C,Applied Electricity (2 of 2),0.5,Architecture & Construction
ACR,X103,Basic Electricity: Second Course,0.5,Architecture & Construction
ACR,X112,Basic Electricity for A/C and Refrigeration (L),0.5,Architecture & Construction
ACR,X113,Applied Electricity II (L),0.5,Architecture & Construction
ACR,X611,Applied Heating (L),0.5,Architecture & Construction
ACR,X740,Components of Refrigeration (L),0.5,Architecture & Construction
AER,10,Basic Skills and Safety (PSAV),1.5,"Transportation, Distribution & Logistics"
AER,11,Automotive Maintenance Technician OCP A (400 hours),2.5,"Transportation, Distribution & Logistics"
AER,14,Automotive Services Assistor OCP A (300 hours),2,"Transportation, Distribution & Logistics"
AER,26,Maintenance and Light Repair Technician 2,1,"Transportation, Distribution & Logistics"
AER,27,Maintenance and Light Repair Technician 3,1,"Transportation, Distribution & Logistics"
AER,28,Maintenance and Light Repair Technician 4,1,"Transportation, Distribution & Logistics"
AER,75,Introduction to Automotive Service Advisor (75 hours),0.5,"Transportation, Distribution & Logistics"
AER,76,Introduction to Automotive Customer Service (75 hours),0.5,"Transportation, Distribution & Logistics"
AER,77,Dealership Policies and Protocols,0.5,"Transportation, Distribution & Logistics"
AER,81,Introduction to Auto Body (L) OCP B (150 hours),0.5,"Transportation, Distribution & Logistics"
AER,110,Engine Repair Technician,1,"Transportation, Distribution & Logistics"
AER,118,Advanced Engine Repair Technician OCP B (200 hours),1,"Transportation, Distribution & Logistics"
AER,172,Automotive Heating and Air Conditioning OCP H (150 hours),1,"Transportation, Distribution & Logistics"
AER,173,Advanced Automotive Heating and Air Conditioning OCP H (200 hours),1,"Transportation, Distribution & Logistics"
AER,190,"Combination: Brakes, AC, Trains, Axles",0.5,"Transportation, Distribution & Logistics"
AER,198,Engine Mechanical Service & Repair (L),0.5,"Transportation, Distribution & Logistics"
AER,199,Engine Repair (PSAV),1,"Transportation, Distribution & Logistics"
AER,257,Automatic Transmission/Transaxle Technician OCP C (150 hours),1,"Transportation, Distribution & Logistics"
AER,258,Advanced Automatic Transmission and Transaxle Technician OCP C (200 hours),1,"Transportation, Distribution & Logistics"
AER,274,Manual Drivetrain and Axle Technician OCP D (150 hours),1,"Transportation, Distribution & Logistics"
AER,275,Advance Manual Drivetrain and Axle Technician OCP D (200 hours),1,"Transportation, Distribution & Logistics"
AER,299,Automatic Transmission and Transaxles (PSAV),1,"Transportation, Distribution & Logistics"
AER,319,Advanced Automotive Electrical/Electronic System Technician OCP G (400 hours),2.5,"Transportation, Distribution & Logistics"
AER,360,Automotive Electrical/Electronics Systems Technician OCP G (300 hours),2,"Transportation, Distribution & Logistics"
AER,398,Manual Transmissions and Drivelines (L),0.5,"Transportation, Distribution & Logistics"
AER,399,Auto Manual Transmission/Transaxles (PSAV),1,"Transportation, Distribution & Logistics"
AER,418,Automotive Brake System Technician OCP F (150 hours),1,"Transportation, Distribution & Logistics"
AER,419,Advanced Automotive Brake System Technician OCP F (200 hours),1,"Transportation, Distribution & Logistics"
AER,450,Automobile Suspension and Steering Technician,0.5,"Transportation, Distribution & Logistics"
AER,453,Automotive Suspension and Steering Technician OCP E (150 hours),1,"Transportation, Distribution & Logistics"
AER,459,Advanced Automotive Suspension and Steering Technician OCP E (200 hours),1,"Transportation, Distribution & Logistics"
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
AER,498,Automotive Steering Suspension Systems (L),0.5,"Transportation, Distribution & Logistics"
AER,499,"Steering, Suspension & Alignment (PSAV)",1,"Transportation, Distribution & Logistics"
AER,503,Automotive Engine Performance Technician OCP I (300 hours),2,"Transportation, Distribution & Logistics"
AER,506,Advanced Automotive Engine Performance Technician OCP I (400 hours),2.5,"Transportation, Distribution & Logistics"
AER,599,L1 Auto Advanced Engine Performance Specialty ASE Test Prep,1,"Transportation, Distribution & Logistics"
AER,691,Electrical Systems (PSAV),1,"Transportation, Distribution & Logistics"
AER,692,Electrical/Electronic Systems II (PSAV),1,"Transportation, Distribution & Logistics"
AER,759,Automotive Service Technology II (PSAV),0.5,"Transportation, Distribution & Logistics"
AER,871,Automotive Compresses Natural Gas Technician (150 hours),1,"Transportation, Distribution & Logistics"
AER,875,Alternative Fuels Maintenance Technician (300 hours),2,"Transportation, Distribution & Logistics"
AER,876,Advanced Alternative Fuels Technician (300 hours),2,"Transportation, Distribution & Logistics"
AER,891,Engine Performance I (PSAV),1,"Transportation, Distribution & Logistics"
AER,892,Engine Performance II (PSAV),1,"Transportation, Distribution & Logistics"
AER,945,Dealership Internship,1,"Transportation, Distribution & Logistics"
AER,0014C,Automotive Services Assistor OCP A (300 hours),2,"Transportation, Distribution & Logistics"
AER,0021C,Automotive Service Assistor Core (PSAV),0.5,"Transportation, Distribution & Logistics"
AER,0110C,Engine Repair Technician,1,"Transportation, Distribution & Logistics"
AER,0172C,Automotive Heating and Air Conditioning OCP H (150 hours),1,"Transportation, Distribution & Logistics"
AER,0190C,"Combination: Brakes, AC, Trains, Axles",0.5,"Transportation, Distribution & Logistics"
AER,0190L,"Combination: Brakes, AC, Trains, Axles",0.5,"Transportation, Distribution & Logistics"
AER,0198C,Engine Mechanical Service & Repair (L),0.5,"Transportation, Distribution & Logistics"
AER,0199C,Engine Repair (PSAV),1,"Transportation, Distribution & Logistics"
AER,0257C,Automatic Transmission/Transaxle Technician OCP C (150 hours),1,"Transportation, Distribution & Logistics"
AER,0274C,Manual Drivetrain and Axle Technician OCP D (150 hours),1,"Transportation, Distribution & Logistics"
AER,0299C,Automatic Transmission and Transaxles (PSAV),1,"Transportation, Distribution & Logistics"
AER,0320L,Manual and Automatic Transmissions (PSAV),1,"Transportation, Distribution & Logistics"
AER,0360C,Automotive Electrical/Electronics Systems Technician OCP G (300 hours),2,"Transportation, Distribution & Logistics"
AER,0399C,Auto Manual Transmission/Transaxles (PSAV),1,"Transportation, Distribution & Logistics"
AER,0401L,Basic Hydraulics,1,"Transportation, Distribution & Logistics"
AER,0418C,Automotive Brake System Technician OCP F (150 hours),1,"Transportation, Distribution & Logistics"
AER,0453C,Automotive Suspension and Steering Technician OCP E (150 hours),1,"Transportation, Distribution & Logistics"
AER,0499C,"Steering, Suspension & Alignment (PSAV)",1,"Transportation, Distribution & Logistics"
AER,0503C,Automotive Engine Performance Technician OCP I (300 hours),2,"Transportation, Distribution & Logistics"
AER,0560L,Introduction to Automotive Technology and Braking Systems (PSAV),1,"Transportation, Distribution & Logistics"
AER,0599C,L1 Auto Advanced Engine Performance Specialty ASE Test Prep,0.5,"Transportation, Distribution & Logistics"
AER,0691C,Electrical Systems (PSAV),1,"Transportation, Distribution & Logistics"
AER,0691L,Electrical Systems (PSAV),3,"Transportation, Distribution & Logistics"
AER,0692C,Electrical/Electronic Systems II (PSAV),1,"Transportation, Distribution & Logistics"
AER,0697C,Advanced Auto Electrical/Electronics (PSAV),1.5,"Transportation, Distribution & Logistics"
AER,0697L,Advanced Auto Electrical/Electronics (PSAV),1,"Transportation, Distribution & Logistics"
AER,0759C,Automotive Service Technology II (PSAV),0.5,"Transportation, Distribution & Logistics"
AER,0797C,Automotive Heating and Air Conditioning (PSAV),1,"Transportation, Distribution & Logistics"
AER,0797L,Automotive Heating and Air Conditioning (PSAV),0.5,"Transportation, Distribution & Logistics"
AER,0892C,Engine Performance II (PSAV),0.5,"Transportation, Distribution & Logistics"
AER,0893C,Engine Performance III,1,"Transportation, Distribution & Logistics"
AER,X298,A2 Automatic Transmission/Transaxle AS Test Prep,0.5,"Transportation, Distribution & Logistics"
AER,X598,A8 Engine Performance ASE Test Prep,0.5,"Transportation, Distribution & Logistics"
AER,X598C,A8 Engine Performance ASE Test Prep,0.5,"Transportation, Distribution & Logistics"
AER,X695,Electrical Systems II (PSAV),0.5,"Transportation, Distribution & Logistics"
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
AER,X695C,Electrical Systems II (PSAV),0.5,"Transportation, Distribution & Logistics"
AER,X698C,Automotive Electrical and Electronic Systems,0.5,"Transportation, Distribution & Logistics"
AER,X758,Automotive Heating and Air Conditioning (L),0.5,"Transportation, Distribution & Logistics"
AER,X758C,Automotive Heating and Air Conditioning (L),0.5,"Transportation, Distribution & Logistics"
AER,X895C,Advanced Engine Performance (L),0.5,"Transportation, Distribution & Logistics"
AER,X898C,Automotive Engine Performance (L),0.5,"Transportation, Distribution & Logistics"
AFR,X100,Introduction to Aerospace Workplace,0.5,"Transportation, Distribution & Logistics"
AMT,125,"Aircraft Coating Safety, Inspection and Environmental Regulations",0.5,"Transportation, Distribution & Logistics"
AMT,126,Aircraft Coating Technician,1,"Transportation, Distribution & Logistics"
AMT,133,Aircraft Surface Prep Technician,1,"Transportation, Distribution & Logistics"
AMT,700,Aviation General Maintenance Technician Helper OCP A (480 hours),3,"Transportation, Distribution & Logistics"
AMT,701,Aviation Maintenance Technology General I (120 hours),0.5,"Transportation, Distribution & Logistics"
AMT,702,Aviation Maintenance Technology General II (120 hours),0.5,"Transportation, Distribution & Logistics"
AMT,703,Aviation Maintenance Technology General III (120 hours),0.5,"Transportation, Distribution & Logistics"
AMT,704,Aviation Maintenance Technology General IV (120 hours),0.5,"Transportation, Distribution & Logistics"
AMT,705,Aviation Maintenance General Technician (450 Clock hours),3,"Transportation, Distribution & Logistics"
AMT,708,Aviation Maintenance Technology General 1 (224 hours),1.5,"Transportation, Distribution & Logistics"
AMT,709,Aviation Maintenance Technology General 2 (224 hours),1.5,"Transportation, Distribution & Logistics"
AMT,710,Aviation Maintenance Technician with FAA Airframe (1 of 2) OCP B (480 hours),3,"Transportation, Distribution & Logistics"
AMT,711,Aviation Maintenance Technician with FAA Airframe (2 of 2) OCP B (480 hours),3,"Transportation, Distribution & Logistics"
AMT,712,Aviation Maintenance Technology Airframe I (PSAV),1.5,"Transportation, Distribution & Logistics"
AMT,713,Aviation Maintenance Technology Airframe II (PSAV),1.5,"Transportation, Distribution & Logistics"
AMT,714,Aviation Maintenance Technology Airframe III (PSAV),1.5,"Transportation, Distribution & Logistics"
AMT,717,Aviation Maintenance Technology Airframe IV (PSAV),1.5,"Transportation, Distribution & Logistics"
AMT,720,Aviation Maintenance Technician with FAA Power Plant Rating (1 of 2) OCP B (480 hours),3,"Transportation, Distribution & Logistics"
AMT,721,Aviation Maintenance Technician with FAA Power Plant Rating (2 of 2) OCP B (480 hours),3,"Transportation, Distribution & Logistics"
AMT,765,Aviation Maintenance Airframe Technician 1 (450 hours),3,"Transportation, Distribution & Logistics"
AMT,766,Aviation Maintenance Airframe Technician 2 (450 hours),3,"Transportation, Distribution & Logistics"
AMT,775,Aviation Maintenance Powerplant Technician 1 (450 hours),3,"Transportation, Distribution & Logistics"
AMT,776,Aviation Maintenance Powerplant Technician 2 (450 hours),3,"Transportation, Distribution & Logistics"
AMT,821,Aviation Maintenance Technology Powerplant I (1 of 4),1.5,"Transportation, Distribution & Logistics"
AMT,822,Aviation Maintenance Technology Powerplant II (2 of 4),1.5,"Transportation, Distribution & Logistics"
AMT,823,Aviation Maintenance Technology Powerplant III (3 of 4),1.5,"Transportation, Distribution & Logistics"
AMT,824,Aviation Maintenance Technology Powerplant IV (4 of 4),1.5,"Transportation, Distribution & Logistics"
AMT,940,Internships/Practicums/Clinical Practice,0.5,"Transportation, Distribution & Logistics"
AMT,0040C,Materials and Processes (PSAV),0.5,"Transportation, Distribution & Logistics"
AMT,0091C,Basic Electricity (PSAV),0.5,"Transportation, Distribution & Logistics"
AMT,0200C,Landing Gear Systems (PSAV),0.5,"Transportation, Distribution & Logistics"
AMT,0210C,Hydraulic & Pneumatic Systems (PSAV),0.5,"Transportation, Distribution & Logistics"
AMT,0260C,Electrical Systems (PSAV),0.5,"Transportation, Distribution & Logistics"
AMT,0300C,Aircraft Powerplants-Reciprocating (PSAV),1,"Transportation, Distribution & Logistics"
AMT,0310C,Aircraft Powerplants- Turbines (PSAV),0.5,"Transportation, Distribution & Logistics"
AMT,0440C,Ignition Systems (PSAV),0.5,"Transportation, Distribution & Logistics"
AMT,0490C,Propellers & Propeller Systems (PSAV),0.5,"Transportation, Distribution & Logistics"
AMT,0700C,Aviation General Maintenance Technician Helper OCP A (480 hours),3,"Transportation, Distribution & Logistics"
AMT,0710C,Aviation Maintenance Technician with FAA Airframe (1 of 2) OCP B (480 hours),3,"Transportation, Distribution & Logistics"
AMT,0711C,Aviation Maintenance Technician with FAA Airframe (2 of 2) OCP B (480 hours),3,"Transportation, Distribution & Logistics"
AMT,0720C,Aviation Maintenance Technician with FAA Power Plant Rating (2 of 2) OCP B (480 hours),3,"Transportation, Distribution & Logistics"
AMT,0721C,Aviation Maintenance Technician with FAA Power Plant Rating (2 of 2) OCP B (480 hours),3,"Transportation, Distribution & Logistics"
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
AMT,X765,Aviation Maintenance Airframe Technician 1,3,Career/Technical Education
APA,X111,Manual Bookkeeping I,0.5,Business Management & Administration
APA,X111C,Manual Bookkeeping I,0.5,Business Management & Administration
ARC,X126,Architectural Drafting (L),0.5,Architecture & Construction
ARC,X126C,Architectural Drafting (L),0.5,Architecture & Construction
ARC,X301,Design I (L),0.5,Architecture & Construction
ARC,X301C,Design I (L),0.5,Architecture & Construction
ARC,X461,Materials & Methods,0.5,Architecture & Construction
ARR,1,Intro to Automotive Body Repair,0,"Transportation, Distribution & Logistics"
ARR,20,Auto Collision Estimator OCP C (100 hours),0.5,"Transportation, Distribution & Logistics"
ARR,21,"Damage Analysis, Estimating and Customer Care",0.5,"Transportation, Distribution & Logistics"
ARR,112,"Automotive Collision, Welding, Cutting and Joining (75 hours)",0.5,"Transportation, Distribution & Logistics"
ARR,127,Automotive Refinishing OCP A (325 hours),2,"Transportation, Distribution & Logistics"
ARR,210,Paint and Body Repair OCP A (250 hours),1.5,"Transportation, Distribution & Logistics"
ARR,213,Paint and Body Helper OCP A (250 hours),1.5,"Transportation, Distribution & Logistics"
ARR,240,Automotive Body Repairer OCP B (325 hours),2,"Transportation, Distribution & Logistics"
ARR,290,Structural Analysis and Damage Repair (PSAV),0.5,"Transportation, Distribution & Logistics"
ARR,313,Frame and Body Repairman OCP C (150 hours),1,"Transportation, Distribution & Logistics"
ARR,374,Mechanical and Electric Repair,0.5,"Transportation, Distribution & Logistics"
ARR,411,Basic Auto Painting,0.5,"Transportation, Distribution & Logistics"
ARR,940,Internships/Practicums/Clinical Practice,0.5,"Transportation, Distribution & Logistics"
ARR,941,Internships/Practicums/Clinical Practice,0.5,"Transportation, Distribution & Logistics"
ARR,0001L,Intro to Automotive Body Repair,1,"Transportation, Distribution & Logistics"
ARR,0005C,Introduction to Collision Repair & Refinishing,0.5,"Transportation, Distribution & Logistics"
ARR,0006C,Fundamentals of Collision Repair & Refinishing,0.5,"Transportation, Distribution & Logistics"
ARR,0100L,Painting Techniques,1,"Transportation, Distribution & Logistics"
ARR,0110L,Welding,1,"Transportation, Distribution & Logistics"
ARR,0120L,Automotive Refinishing (PSAV),0.5,"Transportation, Distribution & Logistics"
ARR,0121C,Auto Body Refinishing (PSAV),0.5,"Transportation, Distribution & Logistics"
ARR,0122C,Auto Body Refinishing (Cont.) (PSAV),0.5,"Transportation, Distribution & Logistics"
ARR,0123C,Automotive Refinishing- Advanced (PSAV),0.5,"Transportation, Distribution & Logistics"
ARR,0210L,Paint and Body Repair OCP A (250 hours),0.5,"Transportation, Distribution & Logistics"
ARR,0213L,Paint and Body Helper OCP A (250 hours),0.5,"Transportation, Distribution & Logistics"
ARR,0241C,Automotive Body Repair,0.5,"Transportation, Distribution & Logistics"
ARR,0242C,Automotive Body Repair Intermediate,0.5,"Transportation, Distribution & Logistics"
ARR,0243C,Automotive Body Repair- Advanced,0.5,"Transportation, Distribution & Logistics"
ARR,0244C,Collision Repair IV,0.5,"Transportation, Distribution & Logistics"
ARR,0292L,Auto Body Repair (Cont.) (PSAV),1,"Transportation, Distribution & Logistics"
ARR,0310C,Outer Body Panels,0.5,"Transportation, Distribution & Logistics"
ARR,0310L,Outer Body Panels,1,"Transportation, Distribution & Logistics"
ARR,0311C,Non-Structural Repairs II,0.5,"Transportation, Distribution & Logistics"
ARR,0330L,Unibody Vehicles,1,"Transportation, Distribution & Logistics"
ARR,0381C,Introduction to Unibody and Trim,0.5,"Transportation, Distribution & Logistics"
ARR,0382C,Unibody and Frame II,0.5,"Transportation, Distribution & Logistics"
ARR,0414C,Automotive Refinishing II,0.5,"Transportation, Distribution & Logistics"
ASC,X010,History of Aviation,0.5,"Transportation, Distribution & Logistics"
ASC,X100,Navigation (1 of 2),0.5,"Transportation, Distribution & Logistics"
ASC,X110,Navigation (2 of 2),0.5,"Transportation, Distribution & Logistics"
ASC,X210,Aviation Meteorology,0.5,"Transportation, Distribution & Logistics"
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
ASC,X310,Federal Aviation Regulations,0.5,"Transportation, Distribution & Logistics"
ASC,X320,Aviation Laws & Regulations,0.5,"Transportation, Distribution & Logistics"
ASC,X470,Physiology/Psychology of Flight,0.5,"Transportation, Distribution & Logistics"
ASC,X473,Human Factors and Resource Management,0.5,"Transportation, Distribution & Logistics"
ASC,X550,Aerodynamics,0.5,"Transportation, Distribution & Logistics"
ASC,X560,Unmanned Aerial Vehicles and Systems (L),0.5,"Transportation, Distribution & Logistics"
ASC,X560C,Unmanned Aerial Vehicles and Systems (L),0.5,"Transportation, Distribution & Logistics"
ASC,X600C,Maintenance for Pilots,0.5,"Transportation, Distribution & Logistics"
ASC,X610,Aircraft Engines and Systems,0.5,"Transportation, Distribution & Logistics"
ASC,X640,Combined Reciprocating & Turbojet Theory,0.5,"Transportation, Distribution & Logistics"
ASC,X670,Large Aircraft Systems,0.5,"Transportation, Distribution & Logistics"
ASC,X870,Aviation Safety,0.5,"Transportation, Distribution & Logistics"
ASC,X949,Internships/Practicums/Clinical Practice,0.5,"Transportation, Distribution & Logistics"
ASC,X949C,Internships/Practicums/Clinical Practice,0.5,"Transportation, Distribution & Logistics"
ATE,6,Veterinary Assistants & Laboratory Animal Caretakers 1 OCP A (450 hours),3,"Agriculture, Food & Natural Resources"
ATE,70,Veterinary Assistants & Laboratory Animal Caretakers 2 OCP B (150 hours),1,"Agriculture, Food & Natural Resources"
ATE,72,Veterinary Assistant OCP C (150 hours),1,"Agriculture, Food & Natural Resources"
ATE,X110,Animal Anatomy,0.5,"Agriculture, Food & Natural Resources"
ATE,X211,Animal Physiology,0.5,"Agriculture, Food & Natural Resources"
ATE,X311,Veterinary Financial Accounting,0.5,"Agriculture, Food & Natural Resources"
ATE,X611,Animal Medicine I,0.5,"Agriculture, Food & Natural Resources"
ATE,X612,Animal Medicine II,0.5,"Agriculture, Food & Natural Resources"
ATE,X613,Introduction to Veterinary Technology,0.5,"Agriculture, Food & Natural Resources"
ATE,X614,Animal Medicine 2,0.5,"Agriculture, Food & Natural Resources"
ATE,X618,Small Animal Diseases,0.5,"Agriculture, Food & Natural Resources"
ATE,X631,Animal Nursing I,0.5,"Agriculture, Food & Natural Resources"
ATE,X632,Veterinary Surgical Nursing,0.5,"Agriculture, Food & Natural Resources"
ATE,X634,Animal Nursing II,0.5,"Agriculture, Food & Natural Resources"
ATE,X635,Animal Nursing,0.5,"Agriculture, Food & Natural Resources"
ATE,X638,Animal Laboratory Procedures I,0.5,"Agriculture, Food & Natural Resources"
ATE,X639,Animal Laboratory Procedures II,0.5,"Agriculture, Food & Natural Resources"
ATE,X648,Veterinary Radiology for Technicians,0.5,"Agriculture, Food & Natural Resources"
ATE,X648L,Veterinary Radiology for Technicians,0.5,"Agriculture, Food & Natural Resources"
ATE,X650C,Introduction to Clinical Practice,0.5,"Agriculture, Food & Natural Resources"
ATE,X654,Intro to Anesthesia & Radiology Lab,0.5,"Agriculture, Food & Natural Resources"
ATF,X100,Private Pilot Flight (2-3 hours) (L),0.5,"Transportation, Distribution & Logistics"
ATF,X204,Commercial Flight II,0.5,"Transportation, Distribution & Logistics"
ATF,X205,Commercial Flight III,0.5,"Transportation, Distribution & Logistics"
ATF,X210,Commercial Pilot: Flight II,0.5,"Transportation, Distribution & Logistics"
ATF,X305,Instrument Pilot Flight,0.5,"Transportation, Distribution & Logistics"
ATF,X501,Flight Instructor- Flight Training,0.5,"Transportation, Distribution & Logistics"
ATT,X100,Private Pilot Flight Theory,0.5,"Transportation, Distribution & Logistics"
ATT,X101,Private Pilot Applications (L),0.5,"Transportation, Distribution & Logistics"
ATT,X110,Commercial Pilot Flight Theory,0.5,"Transportation, Distribution & Logistics"
ATT,X120,Instrument Pilot Flight Theory,0.5,"Transportation, Distribution & Logistics"
ATT,X130,Fundamentals of Aviation Instruction,0.5,"Transportation, Distribution & Logistics"
ATT,X131,Certified Flight Instructor Ground School,0.5,"Transportation, Distribution & Logistics"
ATT,X640,Advanced Aircraft Operations,0.5,"Transportation, Distribution & Logistics"
ATT,X660,Regional Airport Operations,0.5,"Transportation, Distribution & Logistics"
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
ATT,X810,Air Traffic Controller,0.5,"Transportation, Distribution & Logistics"
ATT,X820,Air Traffic Control,0.5,"Transportation, Distribution & Logistics"
ATT,X821,ATC Radar Procedures,0.5,"Transportation, Distribution & Logistics"
ATT,X821C,ATC Radar Procedures,0.5,"Transportation, Distribution & Logistics"
ATT,X822,VFR Tower Operations,0.5,"Transportation, Distribution & Logistics"
ATT,X822C,VFR Tower Operations,0.5,"Transportation, Distribution & Logistics"
ATT,X823,Air Traffic Control ATC Non-Radar,0.5,"Transportation, Distribution & Logistics"
ATT,X824,ATC Enroute Operations with Lab (L),0.5,"Transportation, Distribution & Logistics"
ATT,X824C,ATC Enroute Operations with Lab (L),0.5,"Transportation, Distribution & Logistics"
AVM,X010,Aviation Management,0.5,"Transportation, Distribution & Logistics"
AVM,X022,Flight Operations,0.5,"Transportation, Distribution & Logistics"
AVM,X120,Air Cargo,0.5,"Transportation, Distribution & Logistics"
AVM,X410,Airport Management,0.5,"Transportation, Distribution & Logistics"
AVM,X431,Customer Service Agent,0.5,"Transportation, Distribution & Logistics"
AVM,X440,Airport and Airline Security,0.5,"Transportation, Distribution & Logistics"
AVM,X441,Aviation Safety & Human Factors,0.5,"Transportation, Distribution & Logistics"
AVM,X475,Aviation Maintenance Management (U),0.5,"Transportation, Distribution & Logistics"
